No.,Time,Source,Destination,Protocol,Length,Info,,,,,Fake
1,0,,,CAN,40,STD: 0x0000018e   08 2b 2a,,,,,
2,0.004269,,,CAN,40,STD: 0x000001a4   00 66 00 00 00 00 00 0d,,,,,
3,0.004498,,,CAN,40,STD: 0x00000091   80 27 08 06 05 00 00 19,,,,,
4,0.004741,,,CAN,40,STD: 0x0000013c   00 19 00 18 00 00 04 2f,,,,,
5,0.004741,,,CAN,40,STD: 0x0000013d   00 19 00 18 00 00 04 2f,,,,,fake
6,0.004989,,,CAN,40,STD: 0x00000158   00 00 00 00 00 00 00 28,,,,,
7,0.005238,,,CAN,40,STD: 0x0000017c   00 00 02 ce 00 00 00 26,,,,,
8,0.005473,,,CAN,40,STD: 0x00000191   01 00 00 a9 a9 01 7f 2d,,,,,
9,0.005657,,,CAN,40,STD: 0x0000019b   00 55 00 00 18,,,,,
10,0.005908,,,CAN,40,STD: 0x000001aa   7f ff 00 00 00 00 00 0f,,,,,
11,0.006133,,,CAN,40,STD: 0x000001b0   00 0f 00 00 00 01 48,,,,,
12,0.00638,,,CAN,40,STD: 0x000001d0   00 00 00 00 00 00 00 0a,,,,,
13,0.006541,,,CAN,40,STD: 0x000001dc   02 02 ce 3d,,,,,
14,0.006794,,,CAN,40,STD: 0x000001ea   00 00 00 00 00 00 00 0f,,,,,
15,0.006941,,,CAN,40,STD: 0x000001ed   01 ff 3a,,,,,
16,0.008785,,,CAN,40,STD: 0x00000156   ff f0 00 00 07 26,,,,,
17,0.009986,,,CAN,40,STD: 0x0000018e   08 2a 3a,,,,,
18,0.014249,,,CAN,40,STD: 0x00000091   80 27 08 06 05 00 00 28,,,,,
19,0.01449,,,CAN,40,STD: 0x0000013c   00 19 00 18 00 00 04 3e,,,,,fake
20,0.01449,,,CAN,40,STD: 0x0000013a   00 19 00 18 00 01 04 3f,,,,,fake
21,0.01449,,,CAN,40,STD: 0x0000013c   00 19 00 18 00 00 04 3e,,,,,
22,0.01474,,,CAN,40,STD: 0x00000158   00 00 00 00 00 00 00 37,,,,,
23,0.014987,,,CAN,40,STD: 0x0000017c   00 00 02 ce 00 00 00 35,,,,,
24,0.015224,,,CAN,40,STD: 0x00000191   01 00 00 a9 a9 01 7f 3c,,,,,
25,0.015407,,,CAN,40,STD: 0x0000019b   00 55 00 00 27,,,,,
26,0.015856,,,CAN,40,STD: 0x000001a6   00 00 00 58 48 80 00 06,,,,,
27,0.018783,,,CAN,40,STD: 0x00000156   ff f0 00 00 07 35,,,,,
28,0.019986,,,CAN,40,STD: 0x0000018e   08 29 0e,,,,,
29,0.024257,,,CAN,40,STD: 0x000001a4   00 66 00 00 00 00 00 1c,,,,,
30,0.024494,,,CAN,40,STD: 0x00000091   80 27 08 06 05 00 00 37,,,,,
